status;type;price;create_date;event_date;tipster_id;club_1;flag_1;club_2;flag_2;bet_on;league;description;content;cover;selection;selection_num;odds;stake;profit;tip_result;match_result
1;0;0;24.11.2012;24.11.2012;Mantis;Rayo;es;Mallorca;es;Mallorca;Spanish La Liga;;;;0;0;2,3;10;-10;3;
1;0;0;25.11.2012;25.11.2012;Mantis;Atletico;es;Sevilla;es;Atletico;Spanish La Liga;;;;0;-1;2,2;10;12;2;
1;0;0;25.11.2012;25.11.2012;Mantis;Valladolid;es;Granada;es;Valladolid;Spanish La Liga;;;;0;win;1,9;10;9;2;
1;0;0;27.11.2012;27.11.2012;Mantis;Sociedad;es;Cordoba;es;Sociedad;Copa del Rey;;;;0;-1;2;10;-10;3;
1;0;0;27.11.2012;27.11.2012;Mantis;Osasuna;es;Sporting;es;Osasuna;Copa del Rey;;;;0;win;1,92;10;9,2;2;
1;0;0;27.11.2012;27.11.2012;Mantis;Betis;es;Valladolid;es;Betis;Copa del Rey;;;;0;win;2,2;10;10,4;2;
1;0;0;28.11.2012;28.11.2012;Mantis;Espanyol;es;Sevilla;es;Espanyol;Copa del Rey;;;;0;0,25;1,89;10;-10;3;
1;0;0;01.12.2012;01.12.2012;Mantis;Valencia;es;Sociedad;es;BTS;Spanish La Liga;;;;0;;1,8;10;8;2;
1;0;0;01.12.2012;01.12.2012;Mantis;Real Madrid;es;Atletico;es;Atletico;Spanish La Liga;;;;0;1,25;1,97;10;-10;3;
1;0;0;02.12.2012;02.12.2012;Mantis;Granada;es;Espanyol;es;Espanyol;Spanish La Liga;;;;0;0,25;1,55;10;5,5;2;
1;0;0;02.12.2012;02.12.2012;Mantis;Deportivo;es;Betis;es;Betis;Spanish La Liga;;;;0;0;2,02;10;10,2;2;
1;0;0;02.12.2012;02.12.2012;Mantis;Celta;es;Levante;es;Levante;Spanish La Liga;;;;0;0,5;1,85;10;8,5;2;
1;0;0;03.12.2012;03.12.2012;Mantis;Sevilla;es;Valladolid;es;Valladolid;Spanish La Liga;;;;0;0,5;2,2;10;12;2;
1;0;0;04.12.2012;04.12.2012;Mantis;Real Madrid;es;Ajax;nl;Ajax;CL;;;;0;1,5;2,2;10;-10;3;
1;0;0;05.12.2012;05.12.2012;Mantis;Lille;fr;Valencia;es;under;CL;;;;0;2,5;1,95;10;9,5;2;
1;0;0;08.12.2012;08.12.2012;Mantis;Malaga;es;Granada;es;Malaga;Spanish La Liga;;;;0;-1;2;10;10;2;
1;0;0;08.12.2012;08.12.2012;Mantis;Osasuna;es;Valencia;es;Valencia;Spanish La Liga;;;;0;0;2;10;10;2;
1;0;0;08.12.2012;08.12.2012;Mantis;Valladolid;es;Real Madrid;es;Real Madrid;Spanish La Liga;;;;0;-1,5;1,95;10;-10;3;
1;0;0;08.12.2012;08.12.2012;Mantis;Sociedad;es;Getafe;es;Getafe;Spanish La Liga;;;;0;0,5;2;10;10;2;
1;0;0;09.12.2012;09.12.2012;Mantis;Bilbao;es;Celta;es;Celta;Spanish La Liga;;;;0;0,25;2,3;10;-10;3;
1;0;0;10.12.2012;10.12.2012;Mantis;Rayo;es;Zaragoza;es;Zaragoza;Spanish La Liga;;;;0;0;2,5;10;15;2;
1;0;0;11.12.2012;11.12.2012;Mantis;Gent;be;RSC Anderlecht;be;RSC Anderlecht;Belgium League;;;;0;win;1,95;10;-10;3;
1;0;0;12.12.2012;12.12.2012;Mantis;Mallorca;es;Sevilla;es;Sevilla;Copa del Rey;;;;0;-0,5;2,3;10;13;2;
1;0;0;12.12.2012;12.12.2012;Mantis;Atletico;es;Getafe;es;Atletico;Copa del Rey;;;;0;-1;1,7;10;7;2;
